city;cases;pop;lat;lon;
Tiszaladány;41;617;48.0649798;21.4136703;
Szergény;20;301;47.3286419;17.2682804;
Teskánd;74;1115;46.8546228;16.7793904;
Pálfiszeg;11;166;46.7800198;16.728822;
Erdőbénye;76;1148;48.2665311;21.3556318;
Vasboldogasszony;36;545;46.9453797;16.8686124;
Lakhegy;30;456;46.952183;16.8322618;
Visz;13;198;46.7260307;17.7830711;
Alsómocsolád;21;320;46.3130764;18.2450064;
Noszvaj;126;1920;47.9369531;20.4753593;
Szuha;34;521;47.9781794;19.9176663;
Nagyiván;73;1122;47.4860114;20.9327905;
Alsópetény;37;572;47.874758;19.2448933;
Zalaszentiván;68;1054;46.8917607;16.8972474;
Tiszaszentimre;132;2053;47.4913975;20.7233655;
Belecska;23;358;46.642455;18.4147016;
Szápár;31;484;47.3171943;18.0371283;
Zalacséb;32;501;46.8581793;16.6601813;
Rábatamási;64;1003;47.5885576;17.1696987;
Egyed;34;533;47.5217162;17.3378908;
Felsőjánosfa;13;204;46.8429359;16.5532584;
Harasztifalu;10;157;47.0496429;16.5510327;
Mezőörs;60;943;47.5687088;17.8794975;
Rum;71;1121;46.4610571;10.9882457;
Tokaj;245;3869;48.1235534;21.4113895;
Hernyék;5;79;46.64974;16.6419973;
Nagylengyel;30;474;46.778581;16.7633768;
Csénye;44;696;47.2371826;16.8702304;
Váralja;52;823;46.2677639;18.4285404;
Karancsalja;96;1521;48.1336594;19.7518849;
Koroncó;148;2349;47.5973773;17.5298156;
Zselickislak;27;430;46.312424;17.7995738;
Juta;74;1182;39.4225192;-111.714358;
Pápasalamon;23;369;47.2296047;17.4221592;
Sopronhorpács;52;835;47.4838028;16.7387483;
Bélapátfalva;178;2859;48.052978;20.3485363;
Dozmat;16;257;47.2338165;16.5144412;
Gérce;72;1157;47.2160195;17.0169311;
Balassagyarmat;935;15025;48.0768832;19.2926037;
Doba;28;450;47.1659729;17.3798491;
Tokodaltáró;189;3046;47.7321967;18.6926702;
Nagyacsád;41;661;47.365925;17.3725747;
Salomvár;37;597;46.8508064;16.6613357;
Edve;7;113;47.455319;17.134343;
Nóráp;14;226;47.2737541;17.4571696;
Győrújbarát;446;7203;47.6133844;17.6365733;
Szécsény;353;5721;48.0802382;19.5207485;
Szarvaskend;14;227;46.9887881;16.6765639;
Tiszaszőlős;95;1544;47.5562623;20.7197416;
Pápa;1843;30053;47.3261087;17.4705293;
Géberjén;30;491;47.9319991;22.4560105;
Nagykeresztúr;16;262;48.0388664;19.7230466;
Nemesszalók;52;852;47.2744171;17.3015774;
Máriakálnok;122;2007;47.861884;17.3243281;
Tököl;638;10499;47.3226787;18.9632427;
Mocsa;130;2141;47.6692513;18.181483;
Gyepükaján;21;346;47.0442283;17.3265641;
Csákvár;318;5245;47.3918045;18.464064;
Nemesgörzsöny;40;660;47.3966812;17.3606754;
Szurdokpüspöki;114;1881;47.8524785;19.695582;
Berzence;149;2460;46.2059813;17.148481;
Úrkút;125;2066;47.0824725;17.6436593;
Kiskutas;12;199;46.9122399;16.795225;
Szentgyörgyvár;20;332;46.7569233;17.1308771;
Lókút;29;483;47.2065946;17.8625213;
Mórichida;50;834;47.5134229;17.4197638;
Hajdúnánás;1022;17059;47.8452241;21.4279002;
Szederkény;103;1722;45.9994626;18.4535831;
Ják;155;2593;47.141049;16.5807225;
Kemenesszentpéter;36;603;47.4272734;17.2293189;
Szatta;4;67;46.7988919;16.4804421;
