település;fertőzöttek;népesség;;;;;;;;;;;;;;;;;;;;;;;
Hercegszántó;97;1 952;;;;;;;;;;;;;;;;;;;;;;;
Vértesboglár;45;906;;;;;;;;;;;;;;;;;;;;;;;
Nagyesztergár;59;1 188;;;;;;;;;;;;;;;;;;;;;;;
Soponya;92;1 854;;;;;;;;;;;;;;;;;;;;;;;
Padár;6;121;;;;;;;;;;;;;;;;;;;;;;;
Algyő;271;5 473;;;;;;;;;;;;;;;;;;;;;;;
Karcag;993;20 074;;;;;;;;;;;;;;;;;;;;;;;
Magyarnándor;55;1 112;;;;;;;;;;;;;;;;;;;;;;;
Bakonyszentkirály;41;829;;;;;;;;;;;;;;;;;;;;;;;
Nagykölked;8;162;;;;;;;;;;;;;;;;;;;;;;;
Deszk;193;3 909;;;;;;;;;;;;;;;;;;;;;;;
Lovasberény;132;2 676;;;;;;;;;;;;;;;;;;;;;;;
Szalánta;58;1 176;;;;;;;;;;;;;;;;;;;;;;;
Tömörkény;85;1 724;;;;;;;;;;;;;;;;;;;;;;;
Nyúl;219;4 443;;;;;;;;;;;;;;;;;;;;;;;
Nyergesújfalu;370;7 508;;;;;;;;;;;;;;;;;;;;;;;
Komádi;274;5 562;;;;;;;;;;;;;;;;;;;;;;;
Abony;736;14 941;;;;;;;;;;;;;;;;;;;;;;;
Gödöllő;1 577;32 043;;;;;;;;;;;;;;;;;;;;;;;
Sajóvámos;105;2 134;;;;;;;;;;;;;;;;;;;;;;;
Horváthertelend;3;61;;;;;;;;;;;;;;;;;;;;;;;
Tokorcs;18;366;;;;;;;;;;;;;;;;;;;;;;;
Nádudvar;431;8 767;;;;;;;;;;;;;;;;;;;;;;;
Sopron;2 862;58 294;;;;;;;;;;;;;;;;;;;;;;;
Lesencetomaj;55;1 121;;;;;;;;;;;;;;;;;;;;;;;
Gálosfa;12;245;;;;;;;;;;;;;;;;;;;;;;;
Csempeszkopács;16;327;;;;;;;;;;;;;;;;;;;;;;;
Budapest IX. kerület;2 662;54 460;;;;;;;;;;;;;;;;;;;;;;;
Zsadány;80;1 638;;;;;;;;;;;;;;;;;;;;;;;
Csikóstőttős;41;840;;;;;;;;;;;;;;;;;;;;;;;
Zalakomár;144;2 952;;;;;;;;;;;;;;;;;;;;;;;
Dány;218;4 473;;;;;;;;;;;;;;;;;;;;;;;
Vasmegyer;85;1 746;;;;;;;;;;;;;;;;;;;;;;;
Kozármisleny;313;6 434;;;;;;;;;;;;;;;;;;;;;;;
Darnózseli;77;1 584;;;;;;;;;;;;;;;;;;;;;;;
Kávás;12;247;;;;;;;;;;;;;;;;;;;;;;;
Veszprém;2 717;55 936;;;;;;;;;;;;;;;;;;;;;;;
Szolnok;3 417;70 447;;;;;;;;;;;;;;;;;;;;;;;
Újbarok;21;433;;;;;;;;;;;;;;;;;;;;;;;
Fülöp;84;1 735;;;;;;;;;;;;;;;;;;;;;;;
Felsőörs;89;1 839;;;;;;;;;;;;;;;;;;;;;;;
Kishartyán;27;558;;;;;;;;;;;;;;;;;;;;;;;
Nagyalásony;24;496;;;;;;;;;;;;;;;;;;;;;;;
Pilisszántó;127;2 628;;;;;;;;;;;;;;;;;;;;;;;
Naszály;117;2 423;;;;;;;;;;;;;;;;;;;;;;;
Balatonfűzfő;217;4 501;;;;;;;;;;;;;;;;;;;;;;;
Pogány;62;1 287;;;;;;;;;;;;;;;;;;;;;;;
Nagydém;17;353;;;;;;;;;;;;;;;;;;;;;;;
Zalaháshágy;18;374;;;;;;;;;;;;;;;;;;;;;;;
Zalaújlak;5;104;;;;;;;;;;;;;;;;;;;;;;;
Alcsútdoboz;71;1 477;;;;;;;;;;;;;;;;;;;;;;;
Tata;1 112;23 169;;;;;;;;;;;;;;;;;;;;;;;
Vámosgyörk;97;2 022;;;;;;;;;;;;;;;;;;;;;;;
Szilágy;13;271;;;;;;;;;;;;;;;;;;;;;;;
Rönök;20;417;;;;;;;;;;;;;;;;;;;;;;;
Várfölde;9;188;;;;;;;;;;;;;;;;;;;;;;;
Adorjánháza;19;397;;;;;;;;;;;;;;;;;;;;;;;
Porrog;10;209;;;;;;;;;;;;;;;;;;;;;;;
Szigetvár;500;10 450;;;;;;;;;;;;;;;;;;;;;;;
Érsekvadkert;174;3 640;;;;;;;;;;;;;;;;;;;;;;;
Fülpösdaróc;17;356;;;;;;;;;;;;;;;;;;;;;;;
Rákóczifalva;260;5 449;;;;;;;;;;;;;;;;;;;;;;;
Jásd;34;713;;;;;;;;;;;;;;;;;;;;;;;
Harkakötöny;41;860;;;;;;;;;;;;;;;;;;;;;;;
Budapest II. kerület;4 162;87 410;;;;;;;;;;;;;;;;;;;;;;;
Zselicszentpál;20;421;;;;;;;;;;;;;;;;;;;;;;;
Győr;5 922;124 685;;;;;;;;;;;;;;;;;;;;;;;
Füzérkomlós;15;316;;;;;;;;;;;;;;;;;;;;;;;
Nógrád;75;1 580;;;;;;;;;;;;;;;;;;;;;;;
Sajóörös;67;1 413;;;;;;;;;;;;;;;;;;;;;;;
Sárvár;697;14 705;;;;;;;;;;;;;;;;;;;;;;;
Bezenye;68;1 435;;;;;;;;;;;;;;;;;;;;;;;
Csapod;27;570;;;;;;;;;;;;;;;;;;;;;;;
Egyházashollós;26;549;;;;;;;;;;;;;;;;;;;;;;;
Budapest XI. kerület;6 289;132 825;;;;;;;;;;;;;;;;;;;;;;;
Nagymányok;109;2 303;;;;;;;;;;;;;;;;;;;;;;;
Mecsér;30;634;;;;;;;;;;;;;;;;;;;;;;;
Nagyhajmás;16;339;;;;;;;;;;;;;;;;;;;;;;;
Polgárdi;328;6 951;;;;;;;;;;;;;;;;;;;;;;;
Pókaszepetk;45;954;;;;;;;;;;;;;;;;;;;;;;;
Bakonszeg;56;1 188;;;;;;;;;;;;;;;;;;;;;;;
Berettyóújfalu;702;14 895;;;;;;;;;;;;;;;;;;;;;;;
Alsóregmec;9;191;;;;;;;;;;;;;;;;;;;;;;;
Bekecs;115;2 441;;;;;;;;;;;;;;;;;;;;;;;
Kétsoprony;65;1 380;;;;;;;;;;;;;;;;;;;;;;;
Sajólászlófalva;21;446;;;;;;;;;;;;;;;;;;;;;;;
Kozárd;8;170;;;;;;;;;;;;;;;;;;;;;;;
Tar;88;1 870;;;;;;;;;;;;;;;;;;;;;;;
Vasszécseny;64;1 360;;;;;;;;;;;;;;;;;;;;;;;
Szany;101;2 147;;;;;;;;;;;;;;;;;;;;;;;
Várpalota;955;20 303;;;;;;;;;;;;;;;;;;;;;;;
Székelyszabar;27;575;;;;;;;;;;;;;;;;;;;;;;;
Vassurány;37;788;;;;;;;;;;;;;;;;;;;;;;;
Göd;987;21 027;;;;;;;;;;;;;;;;;;;;;;;
Torony;94;2 003;;;;;;;;;;;;;;;;;;;;;;;
Győrzámoly;148;3 154;;;;;;;;;;;;;;;;;;;;;;;
Egyházaskozár;35;746;;;;;;;;;;;;;;;;;;;;;;;
Gyula;1 431;30 501;;;;;;;;;;;;;;;;;;;;;;;
Zirc;317;6 760;;;;;;;;;;;;;;;;;;;;;;;
Győrújfalu;99;2 112;;;;;;;;;;;;;;;;;;;;;;;
Sóstófalva;12;256;;;;;;;;;;;;;;;;;;;;;;;
Nagykozár;97;2 071;;;;;;;;;;;;;;;;;;;;;;;
Bokod;103;2 201;;;;;;;;;;;;;;;;;;;;;;;
Nyírtura;91;1 945;;;;;;;;;;;;;;;;;;;;;;;
Nyírderzs;29;620;;;;;;;;;;;;;;;;;;;;;;;
Ordas;21;449;;;;;;;;;;;;;;;;;;;;;;;
Csorna;469;10 042;;;;;;;;;;;;;;;;;;;;;;;
Szeged;7 602;162 868;;;;;;;;;;;;;;;;;;;;;;;
Bátonyterenye;576;12 349;;;;;;;;;;;;;;;;;;;;;;;
Öskü;104;2 231;;;;;;;;;;;;;;;;;;;;;;;
Arnót;114;2 446;;;;;;;;;;;;;;;;;;;;;;;
Perbál;98;2 104;;;;;;;;;;;;;;;;;;;;;;;
Pér;120;2 577;;;;;;;;;;;;;;;;;;;;;;;
Hegykő;73;1 569;;;;;;;;;;;;;;;;;;;;;;;
Üröm;365;7 845;;;;;;;;;;;;;;;;;;;;;;;
Libickozma;2;43;;;;;;;;;;;;;;;;;;;;;;;
Siójut;30;645;;;;;;;;;;;;;;;;;;;;;;;
Fényeslitke;117;2 521;;;;;;;;;;;;;;;;;;;;;;;
Vép;156;3 364;;;;;;;;;;;;;;;;;;;;;;;
Pusztaberki;7;151;;;;;;;;;;;;;;;;;;;;;;;
Fertőszentmiklós;176;3 803;;;;;;;;;;;;;;;;;;;;;;;
Endrőc;16;346;;;;;;;;;;;;;;;;;;;;;;;
Mezőberény;475;10 280;;;;;;;;;;;;;;;;;;;;;;;
Zengővárkony;20;433;;;;;;;;;;;;;;;;;;;;;;;
Doboz;196;4 245;;;;;;;;;;;;;;;;;;;;;;;
Szentborbás;6;130;;;;;;;;;;;;;;;;;;;;;;;
Semjén;25;542;;;;;;;;;;;;;;;;;;;;;;;
Budajenő;97;2 103;;;;;;;;;;;;;;;;;;;;;;;
Vaskút;160;3 470;;;;;;;;;;;;;;;;;;;;;;;
Semjénháza;26;564;;;;;;;;;;;;;;;;;;;;;;;
Bonyhád;602;13 060;;;;;;;;;;;;;;;;;;;;;;;
Isaszeg;534;11 589;;;;;;;;;;;;;;;;;;;;;;;
Szedres;100;2 171;;;;;;;;;;;;;;;;;;;;;;;
Szerencs;421;9 144;;;;;;;;;;;;;;;;;;;;;;;
Ugod;62;1 347;;;;;;;;;;;;;;;;;;;;;;;
Szorgalmatos;48;1 043;;;;;;;;;;;;;;;;;;;;;;;
Budapest XXIII. kerület;1 033;22 449;;;;;;;;;;;;;;;;;;;;;;;
Gersekarát;31;674;;;;;;;;;;;;;;;;;;;;;;;
Perenye;31;674;;;;;;;;;;;;;;;;;;;;;;;
Bocfölde;55;1 196;;;;;;;;;;;;;;;;;;;;;;;
Kosd;114;2 479;;;;;;;;;;;;;;;;;;;;;;;
Gencsapáti;123;2 676;;;;;;;;;;;;;;;;;;;;;;;
Törökbálint;657;14 297;;;;;;;;;;;;;;;;;;;;;;;
Baracska;128;2 786;;;;;;;;;;;;;;;;;;;;;;;
Nagygyimót;26;566;;;;;;;;;;;;;;;;;;;;;;;
Porrogszentkirály;13;283;;;;;;;;;;;;;;;;;;;;;;;
Nyalka;22;479;;;;;;;;;;;;;;;;;;;;;;;
Leányfalu;179;3 899;;;;;;;;;;;;;;;;;;;;;;;
Kisfalud;33;719;;;;;;;;;;;;;;;;;;;;;;;
Harta;158;3 444;;;;;;;;;;;;;;;;;;;;;;;
Bátaszék;298;6 501;;;;;;;;;;;;;;;;;;;;;;;
Magyarnádalja;11;240;;;;;;;;;;;;;;;;;;;;;;;
Szilsárkány;33;720;;;;;;;;;;;;;;;;;;;;;;;
Döbörhegy;6;131;;;;;;;;;;;;;;;;;;;;;;;
Budapest I. kerület;1 197;26 149;;;;;;;;;;;;;;;;;;;;;;;
Bakonynána;47;1 027;;;;;;;;;;;;;;;;;;;;;;;
Lórév;15;328;;;;;;;;;;;;;;;;;;;;;;;
Értény;34;744;;;;;;;;;;;;;;;;;;;;;;;
Kalocsa;736;16 106;;;;;;;;;;;;;;;;;;;;;;;
Egerág;46;1 008;;;;;;;;;;;;;;;;;;;;;;;
Veszprémgalsa;12;263;;;;;;;;;;;;;;;;;;;;;;;
Moha;26;570;;;;;;;;;;;;;;;;;;;;;;;
Hosszúhetény;158;3 464;;;;;;;;;;;;;;;;;;;;;;;
Szepetnek;71;1 557;;;;;;;;;;;;;;;;;;;;;;;
Gyöngyös;1 324;29 036;;;;;;;;;;;;;;;;;;;;;;;
Sümeg;282;6 186;;;;;;;;;;;;;;;;;;;;;;;
Diósjenő;135;2 964;;;;;;;;;;;;;;;;;;;;;;;
Nagykálló;443;9 730;;;;;;;;;;;;;;;;;;;;;;;
Debrecen;9 215;202 402;;;;;;;;;;;;;;;;;;;;;;;
Györe;30;659;;;;;;;;;;;;;;;;;;;;;;;
Kiskőrös;646;14 202;;;;;;;;;;;;;;;;;;;;;;;
Röszke;163;3 584;;;;;;;;;;;;;;;;;;;;;;;
Acsalag;22;484;;;;;;;;;;;;;;;;;;;;;;;
Garáb;2;44;;;;;;;;;;;;;;;;;;;;;;;
Gelsesziget;12;264;;;;;;;;;;;;;;;;;;;;;;;
Jósvafő;12;264;;;;;;;;;;;;;;;;;;;;;;;
Kötegyán;66;1 452;;;;;;;;;;;;;;;;;;;;;;;
Vének;8;176;;;;;;;;;;;;;;;;;;;;;;;
Csomád;76;1 673;;;;;;;;;;;;;;;;;;;;;;;
Budapest XIII. kerület;5 222;115 348;;;;;;;;;;;;;;;;;;;;;;;
Felpéc;43;951;;;;;;;;;;;;;;;;;;;;;;;
Kisbodak;17;376;;;;;;;;;;;;;;;;;;;;;;;
Oroszlány;851;18 823;;;;;;;;;;;;;;;;;;;;;;;
Nógrádsáp;41;909;;;;;;;;;;;;;;;;;;;;;;;
Márkó;70;1 552;;;;;;;;;;;;;;;;;;;;;;;
Vértessomló;62;1 375;;;;;;;;;;;;;;;;;;;;;;;
Székkutas;94;2 085;;;;;;;;;;;;;;;;;;;;;;;
Bokor;5;111;;;;;;;;;;;;;;;;;;;;;;;
Fenyőfő;5;111;;;;;;;;;;;;;;;;;;;;;;;
Marcalgergelyi;17;378;;;;;;;;;;;;;;;;;;;;;;;
Zalabér;33;735;;;;;;;;;;;;;;;;;;;;;;;
Bodonhely;14;312;;;;;;;;;;;;;;;;;;;;;;;
Tótkomlós;262;5 839;;;;;;;;;;;;;;;;;;;;;;;
Dunabogdány;146;3 257;;;;;;;;;;;;;;;;;;;;;;;
Vásárosmiske;16;357;;;;;;;;;;;;;;;;;;;;;;;
Békéscsaba;2 667;59 542;;;;;;;;;;;;;;;;;;;;;;;
Fehérgyarmat;362;8 082;;;;;;;;;;;;;;;;;;;;;;;
Drávakeresztúr;6;134;;;;;;;;;;;;;;;;;;;;;;;
Mezőtúr;758;16 930;;;;;;;;;;;;;;;;;;;;;;;
Parád;89;1 989;;;;;;;;;;;;;;;;;;;;;;;
Budapest VIII. kerület;3 188;71 253;;;;;;;;;;;;;;;;;;;;;;;
Detk;51;1 140;;;;;;;;;;;;;;;;;;;;;;;
Aka;11;246;;;;;;;;;;;;;;;;;;;;;;;
Paks;834;18 666;;;;;;;;;;;;;;;;;;;;;;;
Celldömölk;471;10 552;;;;;;;;;;;;;;;;;;;;;;;
Gyöngyösfalu;49;1 099;;;;;;;;;;;;;;;;;;;;;;;
Eger;2 345;52 660;;;;;;;;;;;;;;;;;;;;;;;
Zsáka;71;1 595;;;;;;;;;;;;;;;;;;;;;;;
Vöckönd;4;90;;;;;;;;;;;;;;;;;;;;;;;
Pusztaszer;63;1 418;;;;;;;;;;;;;;;;;;;;;;;
Vasalja;15;338;;;;;;;;;;;;;;;;;;;;;;;
Tarhos;36;812;;;;;;;;;;;;;;;;;;;;;;;
Nyíregyháza;5 309;119 767;;;;;;;;;;;;;;;;;;;;;;;
Kakasd;76;1 715;;;;;;;;;;;;;;;;;;;;;;;
Töttös;25;565;;;;;;;;;;;;;;;;;;;;;;;
Budapest XII. kerület;2 559;57 877;;;;;;;;;;;;;;;;;;;;;;;
Vác;1 507;34 102;;;;;;;;;;;;;;;;;;;;;;;
Dad;46;1 041;;;;;;;;;;;;;;;;;;;;;;;
Bajna;87;1 969;;;;;;;;;;;;;;;;;;;;;;;
Kemendollár;22;498;;;;;;;;;;;;;;;;;;;;;;;
Budapest III. kerület;5 560;125 992;;;;;;;;;;;;;;;;;;;;;;;
Vértesszőlős;149;3 380;;;;;;;;;;;;;;;;;;;;;;;
Kőröstetétlen;35;794;;;;;;;;;;;;;;;;;;;;;;;
Pornóapáti;16;363;;;;;;;;;;;;;;;;;;;;;;;
Dunaföldvár;375;8 510;;;;;;;;;;;;;;;;;;;;;;;
Kilimán;10;227;;;;;;;;;;;;;;;;;;;;;;;
Nagycenk;95;2 160;;;;;;;;;;;;;;;;;;;;;;;
Hetes;51;1 161;;;;;;;;;;;;;;;;;;;;;;;
Tápiószentmárton;244;5 555;;;;;;;;;;;;;;;;;;;;;;;
Karakószörcsök;13;296;;;;;;;;;;;;;;;;;;;;;;;
Kék;89;2 027;;;;;;;;;;;;;;;;;;;;;;;
Szentjakabfa;5;114;;;;;;;;;;;;;;;;;;;;;;;
Hódmezővásárhely;1 965;44 808;;;;;;;;;;;;;;;;;;;;;;;
Csehi;11;251;;;;;;;;;;;;;;;;;;;;;;;
Tiszaföldvár;476;10 866;;;;;;;;;;;;;;;;;;;;;;;
Nagyréde;144;3 290;;;;;;;;;;;;;;;;;;;;;;;
Csaroda;28;640;;;;;;;;;;;;;;;;;;;;;;;
Hajmáskér;135;3 088;;;;;;;;;;;;;;;;;;;;;;;
Jobbágyi;88;2 014;;;;;;;;;;;;;;;;;;;;;;;
Budapest X. kerület;3 184;72 907;;;;;;;;;;;;;;;;;;;;;;;
Rábapaty;73;1 672;;;;;;;;;;;;;;;;;;;;;;;
Marcali;500;11 465;;;;;;;;;;;;;;;;;;;;;;;
Répcevis;15;344;;;;;;;;;;;;;;;;;;;;;;;
Lenti;346;7 935;;;;;;;;;;;;;;;;;;;;;;;
Püspökladány;633;14 517;;;;;;;;;;;;;;;;;;;;;;;
Edelény;430;9 864;;;;;;;;;;;;;;;;;;;;;;;
Telekgerendás;66;1 517;;;;;;;;;;;;;;;;;;;;;;;
Bánk;30;690;;;;;;;;;;;;;;;;;;;;;;;
Döröske;4;92;;;;;;;;;;;;;;;;;;;;;;;
Nemeske;10;230;;;;;;;;;;;;;;;;;;;;;;;
Szécsisziget;9;207;;;;;;;;;;;;;;;;;;;;;;;
Szőce;14;322;;;;;;;;;;;;;;;;;;;;;;;
Dejtár;63;1 450;;;;;;;;;;;;;;;;;;;;;;;
Zalalövő;125;2 879;;;;;;;;;;;;;;;;;;;;;;;
Mihályi;48;1 106;;;;;;;;;;;;;;;;;;;;;;;
Babosdöbréte;22;507;;;;;;;;;;;;;;;;;;;;;;;
Vésztő;303;6 983;;;;;;;;;;;;;;;;;;;;;;;
Bakonyoszlop;20;461;;;;;;;;;;;;;;;;;;;;;;;
Felsőtárkány;154;3 552;;;;;;;;;;;;;;;;;;;;;;;
Ásványráró;89;2 053;;;;;;;;;;;;;;;;;;;;;;;
Zók;13;300;;;;;;;;;;;;;;;;;;;;;;;
Hajdúszoboszló;1 048;24 185;;;;;;;;;;;;;;;;;;;;;;;
Csopak;93;2 148;;;;;;;;;;;;;;;;;;;;;;;
Mohács;812;18 756;;;;;;;;;;;;;;;;;;;;;;;
Meggyeskovácsi;29;670;;;;;;;;;;;;;;;;;;;;;;;
Kölked;46;1 063;;;;;;;;;;;;;;;;;;;;;;;
Berhida;256;5 917;;;;;;;;;;;;;;;;;;;;;;;
Öttevény;133;3 075;;;;;;;;;;;;;;;;;;;;;;;
Belezna;31;717;;;;;;;;;;;;;;;;;;;;;;;
Diósd;458;10 603;;;;;;;;;;;;;;;;;;;;;;;
Tiszagyulaháza;31;718;;;;;;;;;;;;;;;;;;;;;;;
Murarátka;11;255;;;;;;;;;;;;;;;;;;;;;;;
Táborfalva;148;3 431;;;;;;;;;;;;;;;;;;;;;;;
Sótony;27;626;;;;;;;;;;;;;;;;;;;;;;;
Baja;1 554;36 041;;;;;;;;;;;;;;;;;;;;;;;
Csáfordjánosfa;10;232;;;;;;;;;;;;;;;;;;;;;;;
Murony;53;1 230;;;;;;;;;;;;;;;;;;;;;;;
Dabrony;19;441;;;;;;;;;;;;;;;;;;;;;;;
Dombóvár;799;18 555;;;;;;;;;;;;;;;;;;;;;;;
Szenna;33;767;;;;;;;;;;;;;;;;;;;;;;;
Halimba;53;1 232;;;;;;;;;;;;;;;;;;;;;;;
Beremend;105;2 441;;;;;;;;;;;;;;;;;;;;;;;
Balatonszárszó;96;2 232;;;;;;;;;;;;;;;;;;;;;;;
Budakeszi;646;15 022;;;;;;;;;;;;;;;;;;;;;;;
Nógrádsipek;30;698;;;;;;;;;;;;;;;;;;;;;;;
Himod;28;652;;;;;;;;;;;;;;;;;;;;;;;
Hajdúbagos;90;2 097;;;;;;;;;;;;;;;;;;;;;;;
Ruzsa;108;2 517;;;;;;;;;;;;;;;;;;;;;;;
Újszentiván;87;2 028;;;;;;;;;;;;;;;;;;;;;;;
Ballószög;160;3 731;;;;;;;;;;;;;;;;;;;;;;;
Berkenye;28;653;;;;;;;;;;;;;;;;;;;;;;;
Szentpéterszeg;48;1 121;;;;;;;;;;;;;;;;;;;;;;;
Alsónemesapáti;29;678;;;;;;;;;;;;;;;;;;;;;;;
Vasvár;177;4 139;;;;;;;;;;;;;;;;;;;;;;;
Kistelek;311;7 274;;;;;;;;;;;;;;;;;;;;;;;
Siklós;416;9 730;;;;;;;;;;;;;;;;;;;;;;;
Osli;38;889;;;;;;;;;;;;;;;;;;;;;;;
Kislőd;53;1 241;;;;;;;;;;;;;;;;;;;;;;;
Varbó;47;1 101;;;;;;;;;;;;;;;;;;;;;;;
Jánossomorja;261;6 119;;;;;;;;;;;;;;;;;;;;;;;
Páty;338;7 925;;;;;;;;;;;;;;;;;;;;;;;
Szigetszentmiklós;1 682;39 439;;;;;;;;;;;;;;;;;;;;;;;
Szabolcsbáka;50;1 173;;;;;;;;;;;;;;;;;;;;;;;
Szabadi;13;305;;;;;;;;;;;;;;;;;;;;;;;
Földeák;131;3 075;;;;;;;;;;;;;;;;;;;;;;;
Galvács;4;94;;;;;;;;;;;;;;;;;;;;;;;
Kisvásárhely;2;47;;;;;;;;;;;;;;;;;;;;;;;
Magyaregres;26;611;;;;;;;;;;;;;;;;;;;;;;;
Nyírbéltek;123;2 891;;;;;;;;;;;;;;;;;;;;;;;
Nemesbikk;39;917;;;;;;;;;;;;;;;;;;;;;;;
Szárföld;44;1 035;;;;;;;;;;;;;;;;;;;;;;;
Budapest XIV. kerület;4 852;114 268;;;;;;;;;;;;;;;;;;;;;;;
Biharkeresztes;186;4 386;;;;;;;;;;;;;;;;;;;;;;;
Mátranovák;71;1 675;;;;;;;;;;;;;;;;;;;;;;;
Horvátzsidány;35;826;;;;;;;;;;;;;;;;;;;;;;;
Aba;197;4 660;;;;;;;;;;;;;;;;;;;;;;;
Budapest XX. kerület;2 710;64 117;;;;;;;;;;;;;;;;;;;;;;;
Rábaszentmiklós;6;142;;;;;;;;;;;;;;;;;;;;;;;
Heves;446;10 557;;;;;;;;;;;;;;;;;;;;;;;
Esztergom;1 245;29 476;;;;;;;;;;;;;;;;;;;;;;;
Tolna;490;11 607;;;;;;;;;;;;;;;;;;;;;;;
Noszlop;43;1 019;;;;;;;;;;;;;;;;;;;;;;;
Dunaszeg;93;2 204;;;;;;;;;;;;;;;;;;;;;;;
Mezőhék;14;332;;;;;;;;;;;;;;;;;;;;;;;
Paloznak;23;546;;;;;;;;;;;;;;;;;;;;;;;
Verőce;164;3 894;;;;;;;;;;;;;;;;;;;;;;;
Csór;80;1 901;;;;;;;;;;;;;;;;;;;;;;;
Sajópálfala;31;737;;;;;;;;;;;;;;;;;;;;;;;
Kisbágyon;18;428;;;;;;;;;;;;;;;;;;;;;;;
Balatonakarattya;39;928;;;;;;;;;;;;;;;;;;;;;;;
Máriapócs;88;2 096;;;;;;;;;;;;;;;;;;;;;;;
Nagyatád;440;10 481;;;;;;;;;;;;;;;;;;;;;;;
Lovas;20;477;;;;;;;;;;;;;;;;;;;;;;;
Szálka;27;644;;;;;;;;;;;;;;;;;;;;;;;
Lovászpatona;49;1 170;;;;;;;;;;;;;;;;;;;;;;;
Hunya;26;621;;;;;;;;;;;;;;;;;;;;;;;
Pálosvörösmart;27;645;;;;;;;;;;;;;;;;;;;;;;;
Budapest VI. kerület;1 554;37 131;;;;;;;;;;;;;;;;;;;;;;;
Ostffyasszonyfa;33;789;;;;;;;;;;;;;;;;;;;;;;;
Őrbottyán;318;7 605;;;;;;;;;;;;;;;;;;;;;;;
Nőtincs;49;1 172;;;;;;;;;;;;;;;;;;;;;;;
Erdősmecske;15;359;;;;;;;;;;;;;;;;;;;;;;;
Sokorópátka;48;1 149;;;;;;;;;;;;;;;;;;;;;;;
Budapest XVII. kerület;3 677;88 059;;;;;;;;;;;;;;;;;;;;;;;
Iván;52;1 246;;;;;;;;;;;;;;;;;;;;;;;
Bük;146;3 499;;;;;;;;;;;;;;;;;;;;;;;
Téglás;269;6 449;;;;;;;;;;;;;;;;;;;;;;;
Visegrád;77;1 846;;;;;;;;;;;;;;;;;;;;;;;
Tótszerdahely;45;1 079;;;;;;;;;;;;;;;;;;;;;;;
Pétfürdő;199;4 774;;;;;;;;;;;;;;;;;;;;;;;
Adásztevel;35;840;;;;;;;;;;;;;;;;;;;;;;;
Felsőtold;5;120;;;;;;;;;;;;;;;;;;;;;;;
Sárhida;33;792;;;;;;;;;;;;;;;;;;;;;;;
Szijártóháza;1;24;;;;;;;;;;;;;;;;;;;;;;;
Budapest XIX. kerület;2 437;58 505;;;;;;;;;;;;;;;;;;;;;;;
Abda;137;3 290;;;;;;;;;;;;;;;;;;;;;;;
Halásztelek;465;11 183;;;;;;;;;;;;;;;;;;;;;;;
Szentes;1 142;27 468;;;;;;;;;;;;;;;;;;;;;;;
Szentgotthárd;354;8 516;;;;;;;;;;;;;;;;;;;;;;;
Dunavarsány;344;8 278;;;;;;;;;;;;;;;;;;;;;;;
Ráckeve;437;10 520;;;;;;;;;;;;;;;;;;;;;;;
Szabolcsveresmart;63;1 517;;;;;;;;;;;;;;;;;;;;;;;
Tét;169;4 070;;;;;;;;;;;;;;;;;;;;;;;
Vásárosdombó;47;1 132;;;;;;;;;;;;;;;;;;;;;;;
Pálháza;45;1 084;;;;;;;;;;;;;;;;;;;;;;;
Budaörs;1 233;29 709;;;;;;;;;;;;;;;;;;;;;;;
Vönöck;30;723;;;;;;;;;;;;;;;;;;;;;;;
Szászvár;97;2 339;;;;;;;;;;;;;;;;;;;;;;;
Várda;19;459;;;;;;;;;;;;;;;;;;;;;;;
Sümegprága;25;604;;;;;;;;;;;;;;;;;;;;;;;
Somoskőújfalu;90;2 176;;;;;;;;;;;;;;;;;;;;;;;
Dunakeszi;1 811;43 813;;;;;;;;;;;;;;;;;;;;;;;
Derecske;360;8 715;;;;;;;;;;;;;;;;;;;;;;;
Panyola;24;581;;;;;;;;;;;;;;;;;;;;;;;
Szulok;25;606;;;;;;;;;;;;;;;;;;;;;;;
Nagyszekeres;23;558;;;;;;;;;;;;;;;;;;;;;;;
Őriszentpéter;48;1 166;;;;;;;;;;;;;;;;;;;;;;;
Budapest IV. kerület;4 004;97 293;;;;;;;;;;;;;;;;;;;;;;;
Nagytevel;23;559;;;;;;;;;;;;;;;;;;;;;;;
Ibrány;285;6 933;;;;;;;;;;;;;;;;;;;;;;;
Vácszentlászló;88;2 141;;;;;;;;;;;;;;;;;;;;;;;
Mátészalka;695;16 910;;;;;;;;;;;;;;;;;;;;;;;
Bátor;15;365;;;;;;;;;;;;;;;;;;;;;;;
Bőszénfa;21;511;;;;;;;;;;;;;;;;;;;;;;;
Sáska;12;292;;;;;;;;;;;;;;;;;;;;;;;
Egyházasrádóc;52;1 266;;;;;;;;;;;;;;;;;;;;;;;
Rakamaz;191;4 653;;;;;;;;;;;;;;;;;;;;;;;
Biatorbágy;562;13 692;;;;;;;;;;;;;;;;;;;;;;;
Nagybaracska;95;2 315;;;;;;;;;;;;;;;;;;;;;;;
Jászszentandrás;100;2 444;;;;;;;;;;;;;;;;;;;;;;;
Előszállás;95;2 323;;;;;;;;;;;;;;;;;;;;;;;
Resznek;11;269;;;;;;;;;;;;;;;;;;;;;;;
Tapsony;28;685;;;;;;;;;;;;;;;;;;;;;;;
Nyírbogdány;120;2 936;;;;;;;;;;;;;;;;;;;;;;;
