település;fertőzöttek;népesség;;;;;;;;;;;;;;;;;;;;;;;
Bóly;282;3 772;;;;;;;;;;;;;;;;;;;;;;;
Sajósenye;30;406;;;;;;;;;;;;;;;;;;;;;;;
Nemesbőd;47;637;;;;;;;;;;;;;;;;;;;;;;;
Patosfa;19;258;;;;;;;;;;;;;;;;;;;;;;;
Rábapordány;72;982;;;;;;;;;;;;;;;;;;;;;;;
Seregélyes;326;4 448;;;;;;;;;;;;;;;;;;;;;;;
Győrtelek;127;1 733;;;;;;;;;;;;;;;;;;;;;;;
Borsodgeszt;22;301;;;;;;;;;;;;;;;;;;;;;;;
Nemeskolta;27;371;;;;;;;;;;;;;;;;;;;;;;;
Kétbodony;33;455;;;;;;;;;;;;;;;;;;;;;;;
Nagyberki;105;1 450;;;;;;;;;;;;;;;;;;;;;;;
Kemeneshőgyész;35;484;;;;;;;;;;;;;;;;;;;;;;;
Cserhátszentiván;8;111;;;;;;;;;;;;;;;;;;;;;;;
Kazár;126;1 757;;;;;;;;;;;;;;;;;;;;;;;
Mersevát;42;590;;;;;;;;;;;;;;;;;;;;;;;
Horvátlövő;14;197;;;;;;;;;;;;;;;;;;;;;;;
Alap;139;1 956;;;;;;;;;;;;;;;;;;;;;;;
Letenye;287;4 045;;;;;;;;;;;;;;;;;;;;;;;
Bögöt;28;396;;;;;;;;;;;;;;;;;;;;;;;
Keménfa;6;85;;;;;;;;;;;;;;;;;;;;;;;
Zalaszentlászló;58;822;;;;;;;;;;;;;;;;;;;;;;;
Hagyárosbörönd;21;298;;;;;;;;;;;;;;;;;;;;;;;
Farkasgyepű;26;370;;;;;;;;;;;;;;;;;;;;;;;
Alsószenterzsébet;4;57;;;;;;;;;;;;;;;;;;;;;;;
Bánd;49;699;;;;;;;;;;;;;;;;;;;;;;;
Dötk;3;43;;;;;;;;;;;;;;;;;;;;;;;
Szerep;109;1 569;;;;;;;;;;;;;;;;;;;;;;;
Ipolyszög;44;635;;;;;;;;;;;;;;;;;;;;;;;
Romhány;151;2 184;;;;;;;;;;;;;;;;;;;;;;;
Kisunyom;31;452;;;;;;;;;;;;;;;;;;;;;;;
Tiszaújváros;1 135;16 577;;;;;;;;;;;;;;;;;;;;;;;
Hollókő;22;323;;;;;;;;;;;;;;;;;;;;;;;
Boncodfölde;23;339;;;;;;;;;;;;;;;;;;;;;;;
Vaskeresztes;23;339;;;;;;;;;;;;;;;;;;;;;;;
Kerkafalva;8;118;;;;;;;;;;;;;;;;;;;;;;;
Abasár;168;2 482;;;;;;;;;;;;;;;;;;;;;;;
Mezőszilas;143;2 118;;;;;;;;;;;;;;;;;;;;;;;
Pósfa;18;269;;;;;;;;;;;;;;;;;;;;;;;
Rábacsanak;34;510;;;;;;;;;;;;;;;;;;;;;;;
Iharosberény;34;511;;;;;;;;;;;;;;;;;;;;;;;
Tiszaladány;41;617;;;;;;;;;;;;;;;;;;;;;;;
Szergény;20;301;;;;;;;;;;;;;;;;;;;;;;;
Teskánd;74;1 115;;;;;;;;;;;;;;;;;;;;;;;
Pálfiszeg;11;166;;;;;;;;;;;;;;;;;;;;;;;
Erdőbénye;76;1 148;;;;;;;;;;;;;;;;;;;;;;;
Vasboldogasszony;36;545;;;;;;;;;;;;;;;;;;;;;;;
Lakhegy;30;456;;;;;;;;;;;;;;;;;;;;;;;
Visz;13;198;;;;;;;;;;;;;;;;;;;;;;;
Alsómocsolád;21;320;;;;;;;;;;;;;;;;;;;;;;;
Noszvaj;126;1 920;;;;;;;;;;;;;;;;;;;;;;;
Szuha;34;521;;;;;;;;;;;;;;;;;;;;;;;
Nagyiván;73;1 122;;;;;;;;;;;;;;;;;;;;;;;
Alsópetény;37;572;;;;;;;;;;;;;;;;;;;;;;;
Zalaszentiván;68;1 054;;;;;;;;;;;;;;;;;;;;;;;
Tiszaszentimre;132;2 053;;;;;;;;;;;;;;;;;;;;;;;
Belecska;23;358;;;;;;;;;;;;;;;;;;;;;;;
Szápár;31;484;;;;;;;;;;;;;;;;;;;;;;;
Zalacséb;32;501;;;;;;;;;;;;;;;;;;;;;;;
Rábatamási;64;1 003;;;;;;;;;;;;;;;;;;;;;;;
Egyed;34;533;;;;;;;;;;;;;;;;;;;;;;;
Felsőjánosfa;13;204;;;;;;;;;;;;;;;;;;;;;;;
Harasztifalu;10;157;;;;;;;;;;;;;;;;;;;;;;;
Mezőörs;60;943;;;;;;;;;;;;;;;;;;;;;;;
Rum;71;1 121;;;;;;;;;;;;;;;;;;;;;;;
Tokaj;245;3 869;;;;;;;;;;;;;;;;;;;;;;;
Hernyék;5;79;;;;;;;;;;;;;;;;;;;;;;;
Nagylengyel;30;474;;;;;;;;;;;;;;;;;;;;;;;
Csénye;44;696;;;;;;;;;;;;;;;;;;;;;;;
Váralja;52;823;;;;;;;;;;;;;;;;;;;;;;;
Karancsalja;96;1 521;;;;;;;;;;;;;;;;;;;;;;;
Koroncó;148;2 349;;;;;;;;;;;;;;;;;;;;;;;
Zselickislak;27;430;;;;;;;;;;;;;;;;;;;;;;;
Juta;74;1 182;;;;;;;;;;;;;;;;;;;;;;;
Pápasalamon;23;369;;;;;;;;;;;;;;;;;;;;;;;
Sopronhorpács;52;835;;;;;;;;;;;;;;;;;;;;;;;
Bélapátfalva;178;2 859;;;;;;;;;;;;;;;;;;;;;;;
Dozmat;16;257;;;;;;;;;;;;;;;;;;;;;;;
Gérce;72;1 157;;;;;;;;;;;;;;;;;;;;;;;
Balassagyarmat;935;15 025;;;;;;;;;;;;;;;;;;;;;;;
Doba;28;450;;;;;;;;;;;;;;;;;;;;;;;
Tokodaltáró;189;3 046;;;;;;;;;;;;;;;;;;;;;;;
Nagyacsád;41;661;;;;;;;;;;;;;;;;;;;;;;;
Salomvár;37;597;;;;;;;;;;;;;;;;;;;;;;;
Edve;7;113;;;;;;;;;;;;;;;;;;;;;;;
Nóráp;14;226;;;;;;;;;;;;;;;;;;;;;;;
Győrújbarát;446;7 203;;;;;;;;;;;;;;;;;;;;;;;
Szécsény;353;5 721;;;;;;;;;;;;;;;;;;;;;;;
Szarvaskend;14;227;;;;;;;;;;;;;;;;;;;;;;;
Tiszaszőlős;95;1 544;;;;;;;;;;;;;;;;;;;;;;;
Pápa;1 843;30 053;;;;;;;;;;;;;;;;;;;;;;;
Géberjén;30;491;;;;;;;;;;;;;;;;;;;;;;;
Nagykeresztúr;16;262;;;;;;;;;;;;;;;;;;;;;;;
Nemesszalók;52;852;;;;;;;;;;;;;;;;;;;;;;;
Máriakálnok;122;2 007;;;;;;;;;;;;;;;;;;;;;;;
Tököl;638;10 499;;;;;;;;;;;;;;;;;;;;;;;
Mocsa;130;2 141;;;;;;;;;;;;;;;;;;;;;;;
Gyepükaján;21;346;;;;;;;;;;;;;;;;;;;;;;;
Csákvár;318;5 245;;;;;;;;;;;;;;;;;;;;;;;
Nemesgörzsöny;40;660;;;;;;;;;;;;;;;;;;;;;;;
Szurdokpüspöki;114;1 881;;;;;;;;;;;;;;;;;;;;;;;
Berzence;149;2 460;;;;;;;;;;;;;;;;;;;;;;;
Úrkút;125;2 066;;;;;;;;;;;;;;;;;;;;;;;
Kiskutas;12;199;;;;;;;;;;;;;;;;;;;;;;;
Szentgyörgyvár;20;332;;;;;;;;;;;;;;;;;;;;;;;
Lókút;29;483;;;;;;;;;;;;;;;;;;;;;;;
Mórichida;50;834;;;;;;;;;;;;;;;;;;;;;;;
Hajdúnánás;1 022;17 059;;;;;;;;;;;;;;;;;;;;;;;
Szederkény;103;1 722;;;;;;;;;;;;;;;;;;;;;;;
Ják;155;2 593;;;;;;;;;;;;;;;;;;;;;;;
Kemenesszentpéter;36;603;;;;;;;;;;;;;;;;;;;;;;;
Szatta;4;67;;;;;;;;;;;;;;;;;;;;;;;
Feketeerdő;37;621;;;;;;;;;;;;;;;;;;;;;;;
Terény;22;370;;;;;;;;;;;;;;;;;;;;;;;
Szászberek;60;1 010;;;;;;;;;;;;;;;;;;;;;;;
Vaszar;91;1 536;;;;;;;;;;;;;;;;;;;;;;;
Tanakajd;43;726;;;;;;;;;;;;;;;;;;;;;;;
Rétság;165;2 788;;;;;;;;;;;;;;;;;;;;;;;
Szabolcs;21;355;;;;;;;;;;;;;;;;;;;;;;;
Mindszent;398;6 755;;;;;;;;;;;;;;;;;;;;;;;
Debréte;1;17;;;;;;;;;;;;;;;;;;;;;;;
Bernecebaráti;49;835;;;;;;;;;;;;;;;;;;;;;;;
Mágocs;135;2 313;;;;;;;;;;;;;;;;;;;;;;;
Lucfalva;37;635;;;;;;;;;;;;;;;;;;;;;;;
Kunsziget;75;1 288;;;;;;;;;;;;;;;;;;;;;;;
Derekegyház;92;1 583;;;;;;;;;;;;;;;;;;;;;;;
Kópháza;121;2 082;;;;;;;;;;;;;;;;;;;;;;;
Szécsénke;12;207;;;;;;;;;;;;;;;;;;;;;;;
Bakonykúti;10;173;;;;;;;;;;;;;;;;;;;;;;;
Nagysimonyi;56;969;;;;;;;;;;;;;;;;;;;;;;;
Szomód;130;2 251;;;;;;;;;;;;;;;;;;;;;;;
Nagygörbő;9;156;;;;;;;;;;;;;;;;;;;;;;;
Győrság;87;1 511;;;;;;;;;;;;;;;;;;;;;;;
Nagybárkány;38;661;;;;;;;;;;;;;;;;;;;;;;;
Nagypáli;31;540;;;;;;;;;;;;;;;;;;;;;;;
Sióagárd;74;1 291;;;;;;;;;;;;;;;;;;;;;;;
Kóny;156;2 723;;;;;;;;;;;;;;;;;;;;;;;
Sajókápolna;23;402;;;;;;;;;;;;;;;;;;;;;;;
Nagytarcsa;269;4 703;;;;;;;;;;;;;;;;;;;;;;;
Dobronhegy;8;140;;;;;;;;;;;;;;;;;;;;;;;
Pötréte;16;280;;;;;;;;;;;;;;;;;;;;;;;
Besenyszög;189;3 309;;;;;;;;;;;;;;;;;;;;;;;
Hont;29;509;;;;;;;;;;;;;;;;;;;;;;;
Pásztó;515;9 047;;;;;;;;;;;;;;;;;;;;;;;
Tényő;98;1 722;;;;;;;;;;;;;;;;;;;;;;;
Zalaistvánd;21;369;;;;;;;;;;;;;;;;;;;;;;;
Ságújfalu;57;1 002;;;;;;;;;;;;;;;;;;;;;;;
Tiborszállás;57;1 002;;;;;;;;;;;;;;;;;;;;;;;
Kapuvár;574;10 098;;;;;;;;;;;;;;;;;;;;;;;
Fertőd;187;3 292;;;;;;;;;;;;;;;;;;;;;;;
Kiscsősz;6;106;;;;;;;;;;;;;;;;;;;;;;;
Tengeri;3;53;;;;;;;;;;;;;;;;;;;;;;;
Nick;31;548;;;;;;;;;;;;;;;;;;;;;;;
Sződliget;261;4 615;;;;;;;;;;;;;;;;;;;;;;;
Felsőberecki;16;284;;;;;;;;;;;;;;;;;;;;;;;
Lázi;31;551;;;;;;;;;;;;;;;;;;;;;;;
Mosonmagyaróvár;1 825;32 454;;;;;;;;;;;;;;;;;;;;;;;
Vizslás;75;1 335;;;;;;;;;;;;;;;;;;;;;;;
Écs;116;2 072;;;;;;;;;;;;;;;;;;;;;;;
Röjtökmuzsaj;24;429;;;;;;;;;;;;;;;;;;;;;;;
Csurgónagymarton;10;179;;;;;;;;;;;;;;;;;;;;;;;
Markaz;97;1 737;;;;;;;;;;;;;;;;;;;;;;;
Ikervár;98;1 755;;;;;;;;;;;;;;;;;;;;;;;
Karancsberény;45;806;;;;;;;;;;;;;;;;;;;;;;;
Lébény;183;3 279;;;;;;;;;;;;;;;;;;;;;;;
Narda;27;484;;;;;;;;;;;;;;;;;;;;;;;
Nógrádmarcal;27;484;;;;;;;;;;;;;;;;;;;;;;;
Felsőszentmárton;48;861;;;;;;;;;;;;;;;;;;;;;;;
Kecskéd;116;2 085;;;;;;;;;;;;;;;;;;;;;;;
Jákfa;28;504;;;;;;;;;;;;;;;;;;;;;;;
Mátraszele;51;918;;;;;;;;;;;;;;;;;;;;;;;
Drégelypalánk;81;1 459;;;;;;;;;;;;;;;;;;;;;;;
Csehimindszent;21;379;;;;;;;;;;;;;;;;;;;;;;;
Nemti;40;722;;;;;;;;;;;;;;;;;;;;;;;
Galgahévíz;146;2 640;;;;;;;;;;;;;;;;;;;;;;;
Börcs;74;1 340;;;;;;;;;;;;;;;;;;;;;;;
Rátót;13;236;;;;;;;;;;;;;;;;;;;;;;;
Egervár;57;1 035;;;;;;;;;;;;;;;;;;;;;;;
Oszkó;34;618;;;;;;;;;;;;;;;;;;;;;;;
Vitnyéd;77;1 400;;;;;;;;;;;;;;;;;;;;;;;
Ajak;206;3 751;;;;;;;;;;;;;;;;;;;;;;;
Szakcs;46;838;;;;;;;;;;;;;;;;;;;;;;;
Magyarbánhegyes;122;2 225;;;;;;;;;;;;;;;;;;;;;;;
Tát;299;5 471;;;;;;;;;;;;;;;;;;;;;;;
Szendehely;88;1 611;;;;;;;;;;;;;;;;;;;;;;;
Boldogkőváralja;55;1 007;;;;;;;;;;;;;;;;;;;;;;;
Csongrád;908;16 635;;;;;;;;;;;;;;;;;;;;;;;
Újszász;339;6 211;;;;;;;;;;;;;;;;;;;;;;;
Bucsu;32;588;;;;;;;;;;;;;;;;;;;;;;;
Táplánszentkereszt;142;2 611;;;;;;;;;;;;;;;;;;;;;;;
Somogyudvarhely;55;1 014;;;;;;;;;;;;;;;;;;;;;;;
Sorokpolány;45;830;;;;;;;;;;;;;;;;;;;;;;;
Kispáli;15;277;;;;;;;;;;;;;;;;;;;;;;;
Magyarszentmiklós;14;259;;;;;;;;;;;;;;;;;;;;;;;
Bárna;54;1 000;;;;;;;;;;;;;;;;;;;;;;;
Gyügye;16;297;;;;;;;;;;;;;;;;;;;;;;;
Nógrádmegyer;90;1 671;;;;;;;;;;;;;;;;;;;;;;;
Kőszegszerdahely;27;502;;;;;;;;;;;;;;;;;;;;;;;
Bakonytamási;33;614;;;;;;;;;;;;;;;;;;;;;;;
Novaj;74;1 377;;;;;;;;;;;;;;;;;;;;;;;
Sorkikápolna;13;242;;;;;;;;;;;;;;;;;;;;;;;
Somlószőlős;35;652;;;;;;;;;;;;;;;;;;;;;;;
Szombathely;4 083;76 334;;;;;;;;;;;;;;;;;;;;;;;
Baj;154;2 882;;;;;;;;;;;;;;;;;;;;;;;
Keszü;74;1 385;;;;;;;;;;;;;;;;;;;;;;;
Dabronc;25;468;;;;;;;;;;;;;;;;;;;;;;;
Veszkény;51;955;;;;;;;;;;;;;;;;;;;;;;;
Sajószöged;122;2 292;;;;;;;;;;;;;;;;;;;;;;;
Zaránk;24;451;;;;;;;;;;;;;;;;;;;;;;;
Kiszsidány;5;94;;;;;;;;;;;;;;;;;;;;;;;
Farád;103;1 937;;;;;;;;;;;;;;;;;;;;;;;
Petőháza;57;1 072;;;;;;;;;;;;;;;;;;;;;;;
Filkeháza;6;113;;;;;;;;;;;;;;;;;;;;;;;
Lénárddaróc;14;264;;;;;;;;;;;;;;;;;;;;;;;
Karancslapujtő;136;2 565;;;;;;;;;;;;;;;;;;;;;;;
Dunaszentgyörgy;137;2 586;;;;;;;;;;;;;;;;;;;;;;;
Istenmezeje;75;1 419;;;;;;;;;;;;;;;;;;;;;;;
Salgótarján;1 874;35 470;;;;;;;;;;;;;;;;;;;;;;;
Tiszavalk;16;303;;;;;;;;;;;;;;;;;;;;;;;
Alibánfa;23;437;;;;;;;;;;;;;;;;;;;;;;;
Kálmáncsa;32;608;;;;;;;;;;;;;;;;;;;;;;;
Tés;43;817;;;;;;;;;;;;;;;;;;;;;;;
Egyházasfalu;46;875;;;;;;;;;;;;;;;;;;;;;;;
Nagymágocs;154;2 933;;;;;;;;;;;;;;;;;;;;;;;
Pápadereske;15;286;;;;;;;;;;;;;;;;;;;;;;;
Magyarbóly;49;936;;;;;;;;;;;;;;;;;;;;;;;
Hegyháthodász;8;153;;;;;;;;;;;;;;;;;;;;;;;
Tiszalök;281;5 379;;;;;;;;;;;;;;;;;;;;;;;
Dunaremete;13;249;;;;;;;;;;;;;;;;;;;;;;;
Körmend;579;11 095;;;;;;;;;;;;;;;;;;;;;;;
Répáshuta;23;441;;;;;;;;;;;;;;;;;;;;;;;
Csetény;97;1 860;;;;;;;;;;;;;;;;;;;;;;;
Csipkerek;17;326;;;;;;;;;;;;;;;;;;;;;;;
Kaposszekcső;78;1 496;;;;;;;;;;;;;;;;;;;;;;;
Olasz;33;633;;;;;;;;;;;;;;;;;;;;;;;
Bakonypéterd;15;289;;;;;;;;;;;;;;;;;;;;;;;
Mosonszolnok;93;1 792;;;;;;;;;;;;;;;;;;;;;;;
Görbeháza;125;2 410;;;;;;;;;;;;;;;;;;;;;;;
Cered;55;1 061;;;;;;;;;;;;;;;;;;;;;;;
Penc;81;1 563;;;;;;;;;;;;;;;;;;;;;;;
Piliscsév;130;2 509;;;;;;;;;;;;;;;;;;;;;;;
Öttömös;36;696;;;;;;;;;;;;;;;;;;;;;;;
Völcsej;21;406;;;;;;;;;;;;;;;;;;;;;;;
Kaposvár;3 273;63 298;;;;;;;;;;;;;;;;;;;;;;;
Takácsi;45;871;;;;;;;;;;;;;;;;;;;;;;;
Szekszárd;1 678;32 488;;;;;;;;;;;;;;;;;;;;;;;
Taszár;104;2 018;;;;;;;;;;;;;;;;;;;;;;;
Nemesapáti;26;505;;;;;;;;;;;;;;;;;;;;;;;
Kisszállás;126;2 448;;;;;;;;;;;;;;;;;;;;;;;
Zagyvaszántó;97;1 888;;;;;;;;;;;;;;;;;;;;;;;
Kaposmérő;126;2 453;;;;;;;;;;;;;;;;;;;;;;;
Zalaegerszeg;2 952;57 513;;;;;;;;;;;;;;;;;;;;;;;
Nézsa;60;1 169;;;;;;;;;;;;;;;;;;;;;;;
Pankasz;23;450;;;;;;;;;;;;;;;;;;;;;;;
Nyirád;101;1 977;;;;;;;;;;;;;;;;;;;;;;;
Felcsút;97;1 899;;;;;;;;;;;;;;;;;;;;;;;
Ostoros;140;2 744;;;;;;;;;;;;;;;;;;;;;;;
Budakalász;582;11 411;;;;;;;;;;;;;;;;;;;;;;;
Mohora;51;1 000;;;;;;;;;;;;;;;;;;;;;;;
Sopronkövesd;64;1 256;;;;;;;;;;;;;;;;;;;;;;;
Hajdúböszörmény;1 571;30 854;;;;;;;;;;;;;;;;;;;;;;;
Szalmatercs;23;452;;;;;;;;;;;;;;;;;;;;;;;
Ölbő;38;748;;;;;;;;;;;;;;;;;;;;;;;
Sarród;49;965;;;;;;;;;;;;;;;;;;;;;;;
Mende;211;4 156;;;;;;;;;;;;;;;;;;;;;;;
Szakoly;142;2 797;;;;;;;;;;;;;;;;;;;;;;;
Sárospatak;623;12 304;;;;;;;;;;;;;;;;;;;;;;;
Kálócfa;8;158;;;;;;;;;;;;;;;;;;;;;;;
Vinár;12;237;;;;;;;;;;;;;;;;;;;;;;;
Nagytőke;21;415;;;;;;;;;;;;;;;;;;;;;;;
Andornaktálya;140;2 767;;;;;;;;;;;;;;;;;;;;;;;
Báránd;132;2 611;;;;;;;;;;;;;;;;;;;;;;;
Vámosújfalu;37;732;;;;;;;;;;;;;;;;;;;;;;;
Mátraszőlős;77;1 524;;;;;;;;;;;;;;;;;;;;;;;
Kaszó;5;99;;;;;;;;;;;;;;;;;;;;;;;
Pula;10;198;;;;;;;;;;;;;;;;;;;;;;;
